ID,Name,Pos,Team,BV,p(start),p(90),p(sub on),xMins,g share,a share,yc tax,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
527896,Will Jarvis,M,Shelbourne,9,0,0,0,0,0.20,0.3,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
525712,Harry Wood,M,Shelbourne,8.5,1,0.8,0,85,0.33,0.4,0.11,5.57,4.95,5.87,5.23,5.33,4.63,5.52,5.51,6.30,4.41,5.20,5.22
635794,Kerr McInroy,M,Shelbourne,8,1,0.9,0,87.5,0.22,0.35,0.11,5.22,4.70,5.48,4.95,5.02,4.41,5.18,5.16,5.84,4.23,4.90,4.92
416488,Evan Caffrey,M,Shelbourne,7.5,0.3,0,0.5,29.5,0.14,0.3,0.11,2.29,2.04,2.41,2.18,2.19,1.87,2.27,2.25,2.59,1.79,2.12,2.14
329456,Ali Coote,M,Shelbourne,7,0.4,0.1,0.5,38.5,0.28,0.25,0.11,2.98,2.64,3.14,2.82,2.84,2.43,2.95,2.93,3.38,2.31,2.76,2.78
593078,Jake Henry-Francis,M,Shelbourne,7,0.9,0.6,0,73.5,0.15,0.25,0.11,4.07,3.70,4.25,3.89,3.92,3.47,4.04,4.02,4.52,3.34,3.84,3.85
58475,JJ Lunney,M,Shelbourne,7,0.2,0.1,0.4,23.5,0.14,0.25,0.11,1.79,1.60,1.87,1.70,1.71,1.47,1.77,1.75,2.01,1.41,1.66,1.67
77,Maill Lundgren,M,Shelbourne,6.5,0,0,0.3,6,0.22,0.2,0.11,0.71,0.63,0.75,0.68,0.68,0.57,0.70,0.70,0.81,0.54,0.65,0.66
125650,Daniel Kelly,M,Shelbourne,6,0,0,0.3,6,0.28,0.2,0.11,0.73,0.64,0.77,0.69,0.69,0.58,0.72,0.71,0.83,0.55,0.67,0.67
565308,Ellis Chapman,M,Shelbourne,6,0,0,0.1,2,0.20,0.15,0.11,0.23,0.21,0.25,0.22,0.22,0.19,0.23,0.23,0.27,0.18,0.21,0.22
659631,Sean Moore,M,Shelbourne,6,0,0,0,0,0.20,0.15,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
